item	class	depth	kind	field	depth_position	truth	U	Cstar	U_ok	Cstar_ok	class	U_flag	Cstar_flag	U_truncated	Cstar_truncated
L62B	long	62k	derived	Larger	[0.2806, 0.7194]	Elena	Elena	Elena	True	True	concordant_right			False	False
L62B	long	62k	derived	Diff	[0.4056, 0.5944]	13	13	13	True	True	concordant_right			False	False
L300	long	300k	recall	Bob	0.031	32	32	32	True	True	concordant_right			False	False
L300	long	300k	recall	Alice	0.094	37	37	37	True	True	concordant_right			False	False
L300	long	300k	recall	Clara	0.156	49	49	49	True	True	concordant_right			False	False
L300	long	300k	recall	Diego	0.219	25	25	25	True	True	concordant_right			False	False
L300	long	300k	recall	Elena	0.281	93	93	93	True	True	concordant_right			False	False
L300	long	300k	recall	Felix	0.344	72	72	72	True	True	concordant_right			False	False
L300	long	300k	recall	Greta	0.406	40	40	40	True	True	concordant_right			False	False
L300	long	300k	recall	Hugo	0.469	50	50	50	True	True	concordant_right			False	False
L300	long	300k	recall	Iris	0.531	31	31	31	True	True	concordant_right			False	False
L300	long	300k	recall	Jonas	0.594	78	78	78	True	True	concordant_right			False	False
L300	long	300k	recall	Kira	0.656	30	30	30	True	True	concordant_right			False	False
L300	long	300k	recall	Leo	0.719	41	41	41	True	True	concordant_right			False	False
L300	long	300k	recall	Marta	0.781	86	86	86	True	True	concordant_right			False	False
L300	long	300k	recall	Nadia	0.844	77	77	77	True	True	concordant_right			False	False
L300	long	300k	recall	Owen	0.906	61	61	61	True	True	concordant_right			False	False
L300	long	300k	recall	Priya	0.969	19	19	19	True	True	concordant_right			False	False
L300	long	300k	derived	Sum	[0.0312, 0.9688]	51	51	51	True	True	concordant_right			False	False
L300	long	300k	derived	Larger	[0.281, 0.719]	Elena	Elena	Elena	True	True	concordant_right			False	False
L300	long	300k	derived	Diff	[0.4062, 0.5938]	38	38	38	True	True	concordant_right			False	False
